RowNumber,CustomerId,CreditScore,Geography,Age,FeesCharges,NumOfApplications,HasCrCard,IsActiveMember,EstimatedSalary,Exited
93,15613854,504,Spain,46,7735.02,2,1,1,30984.59,1
94,15599195,654,Germany,32,261.62,1,1,0,10054.53,0
95,15812878,796,Germany,36,3544.74,1,0,1,36976.52,0
96,15602312,635,Spain,33,7825.75,1,1,0,71862.79,0
97,15744689,393,Germany,35,10417.77,1,1,1,99449.86,1
98,15803526,725,Germany,30,5322.59,1,0,1,63082.88,0
99,15665790,628,Germany,39,3897.66,2,0,1,27231.26,0
100,15715951,634,France,42,5934.57,1,1,0,86797.41,0
101,15609618,720,Germany,28,26750.79,2,1,1,101300.94,1
102,15675522,658,Germany,30,11307.74,2,0,1,74169.13,0
103,15705512,715,Germany,37,11476.32,1,1,0,115638.29,0
104,15783501,802,France,38,1180.07,2,0,0,68052.08,0
105,15661670,453,Germany,31,67459.13,1,1,1,199725.39,1
106,15600781,704,Germany,34,1539.83,2,1,0,120834.48,0
107,15682472,830,France,34,5283.39,2,1,0,38131.77,0
108,15690673,656,France,39,1699.92,2,1,0,141069.88,0
109,15760085,710,Germany,48,29204.35,1,0,1,198129.36,0
110,15779659,628,France,28,3564.24,1,1,0,183646.41,0
111,15627360,390,France,42,16174.97,1,0,0,110265.24,1
112,15671137,532,France,52,1343.48,1,1,1,8636.05,1
113,15782688,622,Germany,56,12155.98,1,0,0,46824.08,1
114,15575492,831,France,41,15349.21,2,1,0,171378.77,0
115,15591607,791,France,24,13274.98,1,0,1,167256.35,0
116,15740404,759,France,34,17976.01,2,1,0,124226.16,0
117,15718369,802,Germany,33,15736.71,1,0,1,114935.21,0
118,15642004,696,France,25,1337.03,2,0,1,16459.37,0
119,15712543,793,Germany,39,4158.56,2,0,1,124411.08,0
120,15584518,642,Germany,50,468.48,2,1,0,34941.23,0
121,15802381,495,Germany,34,7776.49,1,0,1,167784.28,0
122,15594408,486,Spain,48,17861.11,1,1,0,75161.25,1
123,15698932,769,Germany,44,4296.08,1,1,0,189543.9,0
124,15724944,684,France,34,0,2,1,0,180427.24,0
125,15713483,757,Spain,52,25367.66,1,1,0,159123.82,1
126,15612350,545,Germany,31,32232.27,1,0,0,126213.84,1
127,15800703,498,Spain,21,1828.92,1,1,0,54141.5,0
128,15705707,660,Spain,29,15869.02,2,0,1,141075.51,0
129,15794413,489,France,32,31.44,2,0,1,878.87,0
130,15650237,765,Spain,32,4810.79,2,0,0,89520.75,0
131,15759618,456,France,48,47193.67,1,1,0,149892.79,1
132,15811589,740,Spain,42,5671.64,2,0,1,180800.42,0
133,15689044,598,France,37,4231.94,1,0,1,98646.22,0
134,15709368,626,France,43,21405.01,2,1,1,109041.53,0
135,15679145,608,Spain,57,4584.36,1,0,0,17941.16,1
136,15655007,759,France,33,5722.82,2,1,0,82996.47,0
137,15623595,627,Spain,28,14940.28,2,1,0,92067.35,0
138,15589975,678,France,73,4688.84,1,1,0,104719.66,0
139,15804017,656,Germany,33,6278.41,1,1,0,112687.57,0
140,15692132,727,Spain,22,4679.05,1,1,0,84699.56,0
141,15641122,707,France,30,3051.29,2,0,1,83473.82,0
142,15680772,723,Spain,36,4679.81,2,1,0,106977.8,0
143,15658929,653,Germany,29,16885.01,1,0,0,55582.54,1
144,15585388,694,Germany,31,23159.14,2,0,1,139874.43,0
145,15574692,589,Germany,39,5285.78,3,1,1,40721.24,1
146,15611325,709,Germany,24,2865.87,2,1,0,53134.3,0
147,15587562,592,France,29,27964.32,1,1,0,164017.89,0
148,15613172,649,Germany,27,9427.59,2,0,1,155996.96,0
149,15651022,445,Germany,44,0,1,0,0,5472.7,1
150,15586310,655,France,30,4129.23,1,1,0,112187.11,0
151,15625524,563,France,40,2617.15,2,1,0,146457.83,0
152,15755209,540,Spain,35,2491.93,1,0,1,27286.1,0
153,15645248,575,France,30,11082.7,2,0,1,130553.47,0
154,15790355,636,Germany,36,17100.41,2,1,0,179351.89,0
155,15762615,607,Spain,40,10780.91,1,0,1,94774.12,0
156,15625426,637,Germany,55,1765.89,1,1,1,8080.85,1
157,15789669,545,France,65,7110.84,2,0,1,48071.61,0
158,15621075,794,Germany,45,17434.49,2,0,0,174531.27,0
159,15810845,659,France,42,8107.24,2,1,0,55470.78,0
160,15719377,774,France,50,2353.08,1,1,1,8546.87,1
161,15654506,560,France,32,10002.1,2,1,0,95857.18,0
162,15726676,673,Spain,30,1957.17,2,1,0,196108.51,0
163,15587421,724,Germany,34,7036.67,2,1,0,148564.76,0
164,15726931,675,Germany,41,24993.78,2,1,1,92982.61,1
165,15771086,512,France,36,1216.1,2,1,0,17675.36,0
166,15756850,554,France,40,10909.86,2,0,1,114996.43,0
167,15702741,652,France,32,7278.84,1,1,0,86957.42,0
168,15679200,658,Spain,29,3465.16,2,0,0,128077.8,0
169,15635905,676,Spain,32,3982.97,2,1,0,43001.46,0
170,15777892,721,Germany,37,20112.99,1,0,1,158591.12,0
171,15656176,532,France,57,4433.65,2,0,1,47847.19,0
172,15811127,600,France,35,1025.24,1,1,0,10488.44,0
173,15604482,850,Spain,30,406.46,1,1,0,5978.2,0
174,15600974,421,Spain,50,30598.94,1,0,1,146145.93,1
175,15727868,662,Germany,38,1658.43,3,1,1,14374.86,1
176,15627801,552,Spain,33,860.58,1,1,0,94670.77,0
177,15773039,634,France,37,21005.34,1,0,1,179670.31,0
178,15755262,469,Spain,41,21061.71,1,1,1,199304.74,1
179,15679531,660,France,34,9380.68,1,1,0,151954.39,0
180,15684181,547,France,45,42588.46,1,0,0,142513.5,1
181,15752047,695,Germany,33,14249.49,2,1,0,169381.9,0
182,15624592,664,France,31,0,2,0,1,169915.02,0
183,15573152,650,France,41,9507.27,2,1,0,88852.47,0
184,15594917,678,France,34,1851.05,1,0,1,40645.81,0
185,15785542,653,Germany,26,9468.21,2,1,0,60427.3,0
186,15723488,558,Germany,47,24268.49,1,1,1,157959.02,1
187,15786308,756,Spain,33,19090.53,2,0,1,176576.62,0
188,15659366,724,Germany,43,8079.38,2,0,0,34888.04,1
189,15774854,557,France,54,7838.83,1,1,1,28737.71,1
190,15725311,744,France,31,9056.19,2,1,0,98178.57,0
191,15787155,608,Spain,30,5896.36,1,1,0,125010.24,0
192,15727829,636,France,42,20255.35,2,0,1,167984.61,0
193,15733247,772,Germany,33,1241.6,1,0,0,4861.72,1
194,15568748,625,Germany,45,30904.69,1,1,1,108872.45,1
195,15699029,723,France,37,4131.08,2,1,0,198252.88,0
196,15774393,731,France,30,2506.77,2,1,1,26960.31,0
197,15676895,416,Germany,39,28621.97,3,0,1,85746.52,1
198,15637753,700,Germany,50,18162.16,1,0,0,77206.25,1
199,15605461,621,Germany,29,6688.84,1,1,0,61048.53,0
200,15808473,711,France,72,0,2,1,0,111981.19,0
201,15627000,628,France,40,6257.03,2,1,0,62232.6,0
202,15787174,587,France,37,10685.76,2,1,0,156105.03,0
203,15723886,791,Germany,20,21440.88,2,1,0,150135.38,0
204,15704769,643,France,67,10254.41,2,1,0,93146.11,0
205,15772896,672,Germany,42,6591.07,1,0,0,33462.94,1
206,15711540,717,France,29,17876.49,1,0,1,144375,0
207,15794056,638,France,46,23073.74,3,1,0,89048.46,1
208,15795149,725,France,28,21627.67,2,0,1,162812.16,0
209,15812009,677,Spain,38,12521.96,2,1,0,136259.65,0
210,15651001,761,Germany,39,11729.12,1,0,1,124052.97,0
211,15813844,713,France,37,9167.61,2,0,1,74158.8,0
212,15596175,656,Germany,67,11465.93,1,1,1,45071.09,1
213,15576269,569,Spain,34,134.87,2,1,0,62030.06,0
214,15797219,518,Germany,40,32412.16,1,1,0,131953.23,1
215,15685500,788,Germany,26,9942.7,2,0,1,79414,0
216,15657566,696,Germany,24,9787.7,1,0,1,157577.29,0
217,15772423,677,Germany,54,38433.79,1,0,0,134420.75,1
218,15628112,786,Germany,36,7541.44,1,0,0,99805.99,0
219,15753754,627,Spain,34,10674.36,2,1,0,97932.68,0
220,15787619,845,France,18,16730.82,1,0,0,145936.28,0
221,15694717,544,Germany,37,7720.85,1,0,1,57558.95,0
222,15665834,704,Spain,28,5882.15,1,1,0,176713.47,0
223,15765297,784,Spain,41,3932.49,2,1,0,34283.23,0
224,15636684,733,France,34,19140.95,2,1,0,198637.34,0
225,15592979,702,Germany,34,11436.81,2,0,0,156917.12,0
226,15750803,702,France,30,2417.9,1,0,1,50457.2,0
227,15607178,850,Germany,38,3741.97,1,0,1,140075.55,0
228,15713853,766,Germany,42,948.93,2,1,0,65323.11,0
229,15686776,611,France,32,1510.36,2,1,0,14956.44,0
230,15673693,714,France,26,11422.54,1,0,1,111879.21,0
231,15700696,771,Spain,31,1794.87,1,0,1,18606.23,0
232,15813163,576,Spain,36,19136.67,1,1,0,123137.01,0
233,15653857,521,France,34,19724.86,2,1,0,148528.24,0
234,15777076,681,France,36,2841.43,2,0,1,13898.31,0
235,15717398,422,Germany,39,3717.86,1,1,1,81259.25,1
236,15799217,795,Germany,35,23141.22,1,0,1,161051.75,0
237,15619955,708,Germany,34,15938.43,3,1,0,48559.19,1
238,15796505,815,Germany,34,17178.15,2,1,0,186339.74,0
239,15725166,742,France,30,3750.13,2,0,1,33159.37,0
240,15800116,750,Germany,28,8973.66,1,1,0,93883.53,0
241,15758685,727,Spain,37,16926.29,2,0,1,110899.3,0
242,15694456,617,France,62,2704.08,1,0,0,11199.04,1
243,15767339,784,France,53,12450.16,2,0,1,189992.97,0
244,15782210,591,France,46,45372.12,1,1,1,152167.79,1
245,15668893,785,France,39,2958.81,2,1,0,33949.67,0
246,15669169,794,Spain,29,1740.46,2,1,0,68143.93,0
247,15643024,393,Germany,35,13770.93,1,0,1,47251.79,1
248,15708608,804,France,22,18157.29,2,0,1,192633.85,0
249,15626144,724,France,40,3240.54,2,0,1,34577.36,0
250,15573112,639,Spain,29,27375.4,1,1,0,161229.84,0
251,15790678,580,France,32,471.79,1,1,0,100816.29,0
252,15727556,764,Spain,26,3265.81,1,1,0,181694.44,0
253,15652266,725,Germany,42,13668.58,1,1,0,137316.32,0
254,15607098,764,Spain,41,7281.45,2,0,0,194926.86,0
255,15590241,736,Germany,34,49198.05,1,1,1,150401.53,1
256,15723654,776,France,25,4533.74,1,1,0,73656.38,0
257,15774510,736,France,31,6722.86,1,0,1,106636.89,0
258,15684173,644,Spain,44,34560.65,3,1,0,155853.52,1
259,15650068,561,France,58,7460.6,1,0,1,162599.51,0
260,15811490,667,France,33,2701.11,2,1,0,103737.82,0
261,15803976,713,France,31,24080.49,2,0,1,160990.27,0
262,15695699,718,France,35,711.53,2,1,0,10334.05,0
263,15624188,713,France,33,11431.02,2,1,0,190686.16,0
264,15812191,570,France,33,1866.45,1,0,1,94440.45,0
265,15636673,711,France,31,3265.62,1,1,0,28257.63,0
266,15594898,713,France,43,15293.87,1,0,1,170034.95,1
267,15660211,675,Germany,35,5638.24,2,0,1,31824.29,0
268,15773972,563,France,50,39577.31,1,1,1,127166.49,1
269,15746726,538,Germany,31,6252.47,1,0,0,44937.01,0
270,15712287,683,France,80,5268.99,2,0,1,188603.07,0
271,15702919,757,Germany,30,14133.05,1,0,1,145111.37,0
272,15674398,673,France,38,24543.74,2,1,0,171463.83,0
273,15797960,806,Germany,59,14478.67,1,1,0,182822.5,0
274,15581539,525,Spain,37,0,2,0,1,57175.32,0
275,15662736,529,France,49,34590.92,1,1,1,120540.83,1
276,15666252,744,Spain,42,1766.49,2,1,0,28714.34,0
277,15677512,686,Spain,22,8178.52,1,1,0,85426.28,0
278,15626114,541,France,24,10131.39,1,1,0,46170.75,0
279,15810834,622,Spain,57,2697.7,1,1,0,64448.36,0
280,15678910,717,France,30,1531.54,1,1,0,16278.97,0
281,15694408,601,Germany,40,54435.66,1,0,0,182855.42,1
282,15585215,769,France,31,74.96,2,0,1,50404.72,0
283,15682757,759,France,30,2991.97,2,0,0,107640.25,0
284,15601848,629,France,35,7836.37,2,0,1,103480.69,0
285,15736008,567,France,46,31260.06,1,0,0,108761.05,1
286,15669064,718,Germany,35,10165.4,1,0,1,179012.3,0
287,15624528,714,Germany,26,4880.71,2,0,1,95145.14,0
288,15598493,709,France,50,6833.6,2,0,1,72143.44,0
289,15702669,684,Germany,44,18530.92,2,0,1,144680.18,0
290,15728669,562,Germany,30,24823.03,1,0,0,177772.03,1
291,15697441,383,Germany,68,13617.58,1,0,0,116828.51,1
292,15740476,675,Germany,32,11977.28,2,0,1,174652.51,0
293,15648064,655,France,33,222.74,2,0,0,2010.98,0
294,15636624,740,Germany,39,4542.88,1,1,0,14109.85,1
295,15807923,678,Germany,39,11780.79,1,0,0,43527.4,1
296,15745844,567,Germany,40,25648.45,2,0,0,86099.23,1
297,15786170,699,France,31,15199.08,1,1,0,161574.19,0
298,15681081,548,Spain,47,860.98,2,0,1,38970.14,0
299,15684484,590,France,22,19218.77,2,0,1,127587.22,0
300,15785869,718,France,25,3345.65,2,0,1,30380.12,0
301,15763859,842,France,43,2658.3,2,1,0,90908.95,0
302,15658935,636,Germany,34,10103.92,2,1,0,138275.01,0
303,15747358,672,Germany,59,1437.78,1,0,1,32171.79,0
304,15735203,688,Germany,32,0,1,1,0,126143.23,0
305,15618182,687,France,38,1100.91,2,0,0,115068.99,0
306,15659420,690,Spain,32,2552.07,2,1,0,102416.84,0
307,15777352,637,Spain,32,4145.68,1,1,0,61936.22,0
308,15812007,704,Spain,25,7127.89,2,0,1,78358.94,0
309,15625461,635,France,45,10464.5,2,1,0,147224.27,0
310,15739438,587,France,30,6715.5,2,0,0,160979.66,0
311,15611759,850,Spain,57,9204.52,2,0,1,132298.49,0
312,15661629,411,Germany,60,0,1,1,1,174248.52,1
313,15592386,601,France,58,2462.02,2,0,1,32790.02,0
314,15803716,731,Spain,28,7665.75,2,0,1,181543.67,0
315,15696674,511,Germany,45,602.89,1,0,0,2319.96,1
316,15745088,522,Germany,29,646.36,2,0,1,10940.4,0
317,15676715,640,France,68,2948.95,2,0,1,199493.38,0
318,15613085,649,Spain,33,29194.73,1,0,1,188193.25,0
319,15633537,582,Germany,42,16238.86,2,0,1,172572.64,0
320,15594720,515,Germany,35,7488.24,2,1,0,189339.6,0
321,15684042,649,Germany,34,8425.94,2,1,0,53512.16,0
322,15583303,647,France,29,4578.92,1,0,1,34004.44,0
323,15774696,692,Germany,75,7905.68,2,1,0,113428.77,0
324,15694506,667,Germany,31,8093.8,2,1,0,183487.98,0
325,15688074,802,Germany,31,0,1,1,0,187658.09,0
326,15759537,750,Germany,35,9583.19,2,1,1,172459.39,0
327,15583456,637,Germany,45,23702.77,3,1,1,122381.02,1
328,15667871,591,Spain,35,13385.85,1,1,0,128123.66,0
329,15677371,692,Spain,30,1669.5,1,1,0,19570.63,0
330,15629677,633,Spain,39,12442.6,3,0,0,188150.6,1
331,15713578,506,France,50,9824.86,2,1,0,111020.24,0
332,15568240,545,Germany,30,7840.07,2,1,0,146700.22,0
333,15689294,738,Germany,44,9714.76,1,0,1,82463.69,0
334,15720910,619,France,66,2313.64,1,0,1,15928.49,0
335,15721181,631,Spain,46,5053.97,2,0,1,45886.33,0
336,15776433,753,Spain,62,14478.96,2,0,1,186489.95,0
337,15717225,605,France,21,768.24,2,0,0,9262.77,0
338,15685226,742,Germany,29,12212.21,1,1,0,84932.4,0
339,15785611,763,Germany,38,5086.84,1,0,1,71557.12,0
340,15573456,610,Spain,46,21922.22,2,0,0,77405.95,1
341,15684548,432,Germany,38,51.65,3,0,0,417.41,1
342,15620505,657,Spain,24,7647.43,1,1,0,71405.17,0
343,15807432,677,Germany,37,22162.32,2,0,1,153400.24,0
344,15584766,575,France,33,26.16,1,0,1,371.05,0
345,15612187,572,Germany,32,4800.38,1,1,0,67789.99,0
346,15762218,701,France,39,22124.14,2,0,1,145894.9,0
347,15646372,574,France,66,52521.44,1,0,0,183840.51,1
348,15747795,599,Germany,38,17298.91,1,0,1,154071.27,0
349,15781589,773,Spain,52,29726.96,2,1,0,179291.85,0
350,15732674,552,Spain,36,12799.88,2,0,1,56937.43,0
351,15642291,723,France,23,7381.61,2,0,1,112239.03,0
352,15578045,488,Spain,49,2458.02,1,0,0,173779.25,1
353,15745354,651,Spain,37,20466.43,2,0,0,125696.26,0
354,15701376,685,Germany,37,6173.94,2,1,0,159585.61,0
355,15691625,540,Germany,41,10006.11,1,0,1,106761.47,0
356,15566594,737,Spain,23,14130.85,2,1,0,129590.18,0
357,15760431,850,France,38,9281.48,2,1,0,80006.65,0
358,15686302,775,Spain,31,11745.49,1,0,1,140451.52,0
359,15801559,673,Germany,41,2555.41,3,1,1,187929.43,1
360,15810432,800,Spain,35,24439.65,2,1,0,167155.36,0
361,15809616,637,Spain,26,19862.76,2,1,0,191420.71,0
362,15720559,414,Germany,61,689.05,1,1,1,11384.45,1
363,15695632,610,France,39,18422.44,1,1,0,94898.1,0
364,15659843,695,France,46,12825.03,2,1,0,106781.59,0
365,15615624,649,France,28,15053.27,2,0,1,159508.52,0
366,15810418,700,Germany,60,20554.78,1,0,0,93524.19,1
367,15716186,605,France,38,8940.01,2,1,0,87168.46,0
368,15674551,513,Germany,40,1855.74,1,0,0,8128.32,1
369,15566111,613,France,39,5438.16,1,0,1,48963.59,0
370,15784597,662,France,26,5660.09,1,0,1,98368.24,0
371,15652883,532,Germany,39,10980.89,2,1,0,148584.61,0
372,15576313,509,Germany,40,798.62,1,0,1,76192.21,0
373,15806467,563,Germany,40,36276.53,1,1,1,134600.94,1
374,15597602,508,Germany,57,15904.32,1,1,1,72467.99,1
375,15743040,731,Germany,41,16483.14,2,1,0,199645.45,0
376,15705521,604,Germany,33,4549.65,1,0,1,42749.85,0
377,15595039,470,Germany,37,42690.46,1,1,0,136050.44,1
378,15799384,692,France,33,8866.44,1,1,0,73564.44,0
379,15693737,631,Germany,30,13007.75,2,1,0,129826.89,0
380,15624623,576,France,35,11674.19,2,0,1,119666,0
381,15567422,653,France,42,21607.65,2,0,0,162697.93,0
382,15690134,561,Germany,42,7089.86,1,1,0,164104.74,0
383,15611088,801,France,31,984.14,2,0,0,84126.75,0
384,15672145,599,France,34,6135.59,2,0,1,70179,0
385,15787470,460,Spain,47,10014.68,1,1,1,145704.19,1
386,15674851,657,France,38,14166.79,2,0,0,105295.77,0
387,15644572,524,France,40,5574.36,1,1,0,100433.83,0
388,15694860,615,Germany,38,39493.1,1,1,0,138777,1
389,15658169,786,Spain,47,8842.4,2,0,1,124694.99,0
390,15794396,582,Germany,38,3991.02,1,1,0,40084.32,0
391,15785798,850,France,40,9474.6,2,1,0,119232.33,0
392,15710825,605,Spain,31,3576.09,1,0,1,43921.36,0
393,15668444,633,Spain,44,5668,1,0,1,62222.81,0
394,15733797,578,France,36,17261.06,2,0,1,164253.35,0
395,15689147,659,France,40,8074.67,2,0,0,126554.96,0
396,15634632,752,France,38,4724.43,2,0,1,68487.51,0
397,15707362,408,Germany,43,9591.94,1,1,1,199273.98,1
398,15732778,498,Germany,29,972.55,2,1,0,195711.16,0
399,15718443,594,France,39,2801.48,2,1,0,36692.17,0
400,15670039,523,Spain,25,2524.2,2,1,0,106920.57,0
401,15613786,824,Spain,26,28458.28,2,1,0,167036.94,0
402,15726032,680,France,33,3317.07,1,1,0,68777.26,0
403,15663252,850,Spain,32,1201.52,2,1,0,18924.92,0
404,15593782,756,Germany,38,2544.59,3,0,0,71905.77,1
405,15633283,601,France,35,1746.65,2,1,0,64833.28,0
406,15749167,775,France,35,17911.6,2,0,1,184843.77,0
407,15759298,686,Spain,27,31810.71,1,0,1,176730.02,0
408,15683625,636,Germany,37,4105.6,1,0,0,20629.4,1
409,15635367,777,France,26,2789.77,1,1,0,28415.36,0
410,15681705,794,France,28,3042.29,2,0,1,77231.27,0
411,15603156,583,France,33,9783.14,2,0,1,102750.7,0
412,15591986,606,Germany,46,8317.78,1,0,0,34580.8,1
413,15798888,655,Germany,31,29553.42,1,0,1,183598.77,0
414,15809722,633,France,40,11045.79,2,0,1,147358.27,0
415,15677538,633,France,38,14145.8,1,0,1,108469.2,0
416,15797736,679,France,29,3086.64,1,1,0,20612.82,0
417,15744398,578,France,23,0,2,1,0,160249.1,0
418,15770174,779,France,29,5146.54,1,0,0,54122.89,0
419,15578186,496,Germany,37,8693.4,2,0,1,144995.33,0
420,15676519,498,Spain,61,44881.81,2,1,1,150227.85,1
421,15758639,662,France,37,2302.97,2,0,1,75248.3,0
422,15613772,514,Germany,39,3414.31,1,0,0,14353.43,1
423,15731744,727,France,30,6270.42,2,0,1,130486.57,0
424,15807709,731,Germany,55,11364.55,1,0,1,100127.71,0
425,15714689,641,Spain,29,16828.51,1,1,0,196356.17,0
426,15700353,670,France,37,5449.43,2,0,0,51229.17,0
427,15725679,525,France,47,43328.8,1,0,0,194998.34,1
428,15585865,590,Germany,38,6909.66,3,0,0,134901.34,1
429,15804256,768,Germany,36,8816.73,2,1,0,72924.56,0
430,15662403,681,France,32,8749.4,2,0,1,101057.95,0
431,15591995,779,Germany,26,7248.59,2,0,1,127059.04,0
432,15677020,504,France,58,8135.42,1,0,1,116503.92,1
433,15727688,630,Spain,32,2996.54,2,1,0,54405.79,0
434,15715941,705,France,54,4004.02,2,1,0,88721.84,0
435,15714485,732,France,60,18795.22,1,0,0,74135.48,1
436,15730059,654,Spain,44,0,2,1,0,111346.22,0
437,15715527,570,Spain,41,22775.03,1,0,1,194902.16,0
438,15576623,662,France,31,5905.9,2,1,0,31474.27,0
439,15805565,733,Germany,30,1971.22,1,1,0,21198.39,0
440,15677307,709,Germany,40,0,1,0,1,186976.6,0
441,15773890,760,France,22,7786.49,2,0,1,117202.19,0
442,15598883,647,Spain,37,11208.91,2,1,0,143739.29,0
443,15761043,693,Germany,38,0,2,1,0,98090.91,0
444,15782236,735,Spain,34,8179.03,2,0,1,71095.41,0
445,15593601,764,France,34,1441.47,1,1,0,13107.24,0
446,15682048,484,France,51,2074.41,1,0,0,67110.59,1
447,15746902,808,Spain,38,3694.62,2,1,0,88225.02,0
